Violation_ID,Frame_Number,Timestamp_Sec,Violation_Type,Rider_Confidence,Plate_Detected,Plate_Text,Plate_Confidence,Plate_Crop_Path,Rider_BBox,Plate_BBox
1,52,0.87,No_helmet,0.45,No,N/A,,,"[716.5394897460938, 76.7569580078125, 763.2742309570312, 118.73767852783203]",
2,69,1.15,No_helmet,0.47,No,N/A,,,"[481.6737365722656, 73.40921783447266, 610.4649658203125, 221.9593963623047]",
3,70,1.17,No_helmet,0.73,No,N/A,,,"[466.2526550292969, 75.48189544677734, 602.9375610351562, 220.64569091796875]",
4,71,1.18,No_helmet,0.61,No,N/A,,,"[454.62567138671875, 79.758544921875, 596.3793334960938, 218.82774353027344]",
5,72,1.20,No_helmet,0.76,No,N/A,,,"[444.6736145019531, 82.60969543457031, 552.2997436523438, 213.3698272705078]",
6,73,1.22,No_helmet,0.75,No,N/A,,,"[431.4289245605469, 83.63093566894531, 534.35595703125, 210.16390991210938]",
7,74,1.23,No_helmet,0.87,No,N/A,,,"[419.2716064453125, 85.70357513427734, 521.9940185546875, 206.54827880859375]",
8,75,1.25,No_helmet,0.82,No,N/A,,,"[411.3436584472656, 88.55648040771484, 509.81243896484375, 205.66783142089844]",
9,75,1.25,No_helmet,0.34,No,N/A,,,"[531.7439575195312, 105.94252014160156, 556.4063110351562, 130.57786560058594]",
10,76,1.27,No_helmet,0.84,No,N/A,,,"[398.4984436035156, 90.97941589355469, 497.377685546875, 203.64346313476562]",
11,77,1.28,No_helmet,0.86,No,N/A,,,"[390.10113525390625, 93.13253784179688, 480.6580505371094, 201.62472534179688]",
12,78,1.30,No_helmet,0.86,No,N/A,,,"[380.57781982421875, 95.02532196044922, 469.9591064453125, 201.5188446044922]",
13,79,1.32,No_helmet,0.87,No,N/A,,,"[374.88214111328125, 97.67210388183594, 461.54559326171875, 202.9760284423828]",
14,80,1.33,No_helmet,0.88,No,N/A,,,"[365.6234130859375, 98.04081726074219, 449.84759521484375, 201.2449188232422]",
15,81,1.35,No_helmet,0.79,No,N/A,,,"[355.0933532714844, 99.13288879394531, 439.00830078125, 199.7879180908203]",
16,82,1.37,No_helmet,0.88,No,N/A,,,"[351.2140197753906, 100.72967529296875, 431.6495666503906, 199.66497802734375]",
17,83,1.38,No_helmet,0.89,No,N/A,,,"[344.0011901855469, 103.09151458740234, 423.4021911621094, 196.5626983642578]",
18,84,1.40,No_helmet,0.83,No,N/A,,,"[335.3637390136719, 104.09114837646484, 412.3763122558594, 196.9742431640625]",
19,85,1.42,No_helmet,0.87,No,N/A,,,"[332.2091979980469, 105.90216064453125, 408.7823181152344, 196.353515625]",
20,86,1.43,No_helmet,0.85,No,N/A,,,"[327.912353515625, 105.53446197509766, 399.01019287109375, 194.91526794433594]",
21,87,1.45,No_helmet,0.86,No,N/A,,,"[320.1790466308594, 106.9388198852539, 390.87152099609375, 192.1228485107422]",
22,88,1.47,No_helmet,0.84,No,N/A,,,"[313.4217224121094, 106.93357849121094, 385.77374267578125, 193.79750061035156]",
23,89,1.48,No_helmet,0.84,No,N/A,,,"[310.8122863769531, 107.64678955078125, 379.0428466796875, 190.94271850585938]",
24,90,1.50,No_helmet,0.86,No,N/A,,,"[307.52130126953125, 108.00001525878906, 376.6382141113281, 191.37396240234375]",
25,91,1.52,No_helmet,0.85,No,N/A,,,"[302.6971130371094, 109.81034088134766, 368.11126708984375, 189.74220275878906]",
26,92,1.53,No_helmet,0.86,No,N/A,,,"[297.6368408203125, 110.06670379638672, 364.8219299316406, 190.0818634033203]",
27,93,1.55,No_helmet,0.84,No,N/A,,,"[291.4988708496094, 113.98250579833984, 354.9087219238281, 188.7248077392578]",
28,94,1.57,No_helmet,0.78,No,N/A,,,"[290.11187744140625, 112.76636505126953, 351.1654968261719, 187.56756591796875]",
29,95,1.58,No_helmet,0.83,No,N/A,,,"[286.9634094238281, 113.50249481201172, 347.3948669433594, 186.24024963378906]",
30,96,1.60,No_helmet,0.79,No,N/A,,,"[281.21026611328125, 114.84915161132812, 342.3316650390625, 185.41578674316406]",
31,97,1.62,No_helmet,0.71,No,N/A,,,"[278.2101135253906, 116.4636459350586, 339.5910949707031, 186.8785400390625]",
32,98,1.63,No_helmet,0.75,No,N/A,,,"[272.685302734375, 118.24274444580078, 333.17340087890625, 185.76034545898438]",
33,99,1.65,No_helmet,0.73,No,N/A,,,"[269.55938720703125, 120.8374252319336, 326.6880187988281, 184.1210174560547]",
34,100,1.67,No_helmet,0.79,No,N/A,,,"[265.8242492675781, 121.85222625732422, 321.148681640625, 181.39793395996094]",
35,101,1.68,No_helmet,0.81,No,N/A,,,"[262.3371276855469, 120.77497100830078, 316.7845764160156, 180.3773651123047]",
36,102,1.70,No_helmet,0.77,No,N/A,,,"[260.2096862792969, 121.17969512939453, 313.35931396484375, 180.06594848632812]",
37,103,1.72,No_helmet,0.80,No,N/A,,,"[256.9845275878906, 120.53084564208984, 309.868408203125, 179.26644897460938]",
38,104,1.73,No_helmet,0.71,Yes,N/A,0.40,../results/plate_crops/frame000104_v0_plate.jpg,"[252.7019805908203, 121.17273712158203, 306.7762756347656, 180.57362365722656]","[411.4226379394531, 185.8632354736328, 430.2010192871094, 204.74949645996094]"
39,105,1.75,No_helmet,0.68,No,N/A,,,"[251.04327392578125, 121.89745330810547, 303.03912353515625, 180.3120880126953]",
40,105,1.75,Person_on_Bike,0.42,No,N/A,,,"[181.91787719726562, 108.31987762451172, 367.37384033203125, 464.9624938964844]",
41,106,1.77,No_helmet,0.78,Yes,N/A,0.44,../results/plate_crops/frame000106_v0_plate.jpg,"[250.00482177734375, 121.80735778808594, 300.6605224609375, 179.90562438964844]","[302.775390625, 340.59307861328125, 356.2925720214844, 391.3165588378906]"
42,106,1.77,Person_on_Bike,0.65,Yes,N/A,0.44,../results/plate_crops/frame000106_v1_plate.jpg,"[184.1196746826172, 111.45466613769531, 368.6728210449219, 461.10491943359375]","[302.775390625, 340.59307861328125, 356.2925720214844, 391.3165588378906]"
43,107,1.78,No_helmet,0.77,Yes,Low_Confidence,0.42,../results/plate_crops/frame000107_v0_plate.jpg,"[248.74798583984375, 121.97605895996094, 300.1576843261719, 180.70257568359375]","[296.77642822265625, 335.6499328613281, 350.2145080566406, 387.4403381347656]"
44,107,1.78,Person_on_Bike,0.63,Yes,Low_Confidence,0.42,../results/plate_crops/frame000107_v1_plate.jpg,"[184.5594940185547, 111.54835510253906, 363.6197204589844, 459.45574951171875]","[296.77642822265625, 335.6499328613281, 350.2145080566406, 387.4403381347656]"
45,108,1.80,No_helmet,0.76,No,N/A,,,"[245.5243377685547, 122.55989074707031, 297.5144958496094, 178.4857177734375]",
46,108,1.80,Person_on_Bike,0.61,No,N/A,,,"[186.8063507080078, 112.03669738769531, 358.670166015625, 458.4075012207031]",
47,109,1.82,No_helmet,0.84,Yes,N/A,0.44,../results/plate_crops/frame000109_v0_plate.jpg,"[243.4718017578125, 124.3123779296875, 291.2685546875, 177.0278778076172]","[291.18609619140625, 329.4501953125, 344.054931640625, 377.754150390625]"
